League Name,Country
LaLiga,Spain
Serie A,Italy
Premier League,England
Ligue 1,France
LaLiga2,Spain
 Brazil,Brazil
 Argentina,Argentina
Serie B,Italy
1.Bundesliga,Germany
Premier Liga,Ukraine
Liga NOS,Portugal
 Czech Republic,Czech Republic
 Serbia,Serbia
Eredivisie,Netherlands
 England,England
 Scotland,Scotland
Süper Lig,Turkey
Eliteserien,Norway
 Croatia,Croatia
Super League,Japan
 Mexico,Mexico
 Chile,Chile
Ligue 2,France
 Uruguay,Uruguay
 Bulgaria,Bulgaria
" Korea, South",South Korea
Ekstraklasa,Poland
 Sweden,Sweden
 Latvia,Latvia
2.Bundesliga,Germany
J1 - 2nd Stage,Japan
 Finland,Finland
 Denmark,Denmark
Jupiler Pro League,Belgium
 Saudi Arabia,Saudi Arabia
 Australia,Australia
First Division,England
 Portugal,Portugal
 Slovakia,Slovakia
 Romania,Romania
Vysheyshaya Liga,Belarus
 China,China
1.Liga gr. 1,Switzerland
 Iran,Iran
Bundesliga,Germany
 Venezuela,Venezuela
Primera Div. Apertura,Argentina
Second Division (bis 03/04),England
 France,France
Auf-/Abstiegsrunde NLA/NLB,Austria
U19 Eredivisie,Netherlands
1.Lig,Turkey
 United States,USA
Challenge League,Switzerland
Premiership,England
Ligat ha'Al,Israel
K League 1,South Korea
HET Liga,Czech Republic
MLS,USA
 Spain,Spain
 Tunisia,Tunisia
 South Africa,South Africa
Virsliga,Latvia
Serie C - A,Italy
Regionalliga Nord,Turkey
 Colombia,Colombia
 Russia,Russia
 Moldova,Moldova
Championship,England
S√©rie A,Italy
Superligaen,Denmark
J1 League,Japan
 Peru,Peru
 Paraguay,Paraguay
NB I.,Hungary
 Ukraine,Ukraine
Torneo Final,Argentina
Allsvenskan,Sweden
SuperLiga,Argentina
 Qatar,Qatar
1.HNL,Croatia
OBOS-ligaen,Norway
2¬™ B - Grupo III,Spain
Liga MX Clausura,Mexico
Liga 1,Romania
League One,England
Superettan,Sweden
 Ghana,Ghana
Serie C - B,Italy
S√©rie B,Italy
 Ecuador,Ecuador
J2 League,Japan
 United Arab Emirates,UAE
Primera Divisi√≥n,Chile
Primera B Nacional,Argentina
Primavera B,Italy
2¬™ B - Grupo I,Spain
3.Liga,Germany
Liga Águila II,Colombia
Segunda División,Argentina
Professional League,Saudi Arabia
Stars League,Saudi Arabia
Ligue I Pro,Tunisia
Championnat National,France
Korean FA Cup,South Korea
UAE Gulf League,UAE
Torneo Inicial,Argentina
Serie A Segunda Etapa,Ecuador
1.Division,Russia
Rel. Ligue 1,France
Liga 1 - Championship group,Bulgaria
U18 Premier League,England
Superligaen Championship round,Denmark
A Grupa - Championship gr.,Bulgaria
Liga MX Apertura,Mexico
 Canada,Canada
Proximus League,Belgium
Botola Pro,Morocco
 Wales,Wales
 Belgium,Belgium
 Libya,Libya
 Israel,Israel
Segunda División - Segunda Fase,Argentina
Ledman Liga Pro,Portugal
Série A,Italy
2ª B - Grupo III,Spain
Série B,Italy
Primera División,Argentina
2ª B - Grupo I,Spain